,Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,Marketing_Airline_Network,Operated_or_Branded_Code_Share_Partners,DOT_ID_Marketing_Airline,IATA_Code_Marketing_Airline,Flight_Number_Marketing_Airline,Originally_Scheduled_Code_Share_Airline,DOT_ID_Originally_Scheduled_Code_Share_Airline,IATA_Code_Originally_Scheduled_Code_Share_Airline,Flight_Num_Originally_Scheduled_Code_Share_Airline,Operating_Airline ,DOT_ID_Operating_Airline,IATA_Code_Operating_Airline,Tail_Number,Flight_Number_Operating_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum,Div2Airport,Div2AirportID,Div2AirportSeqID,Div2WheelsOn,Div2TotalGTime,Div2LongestGTime,Div2WheelsOff,Div2TailNum,Div3Airport,Div3AirportID,Div3AirportSeqID,Div3WheelsOn,Div3TotalGTime,Div3LongestGTime,Div3WheelsOff,Div3TailNum,Div4Airport,Div4AirportID,Div4AirportSeqID,Div4WheelsOn,Div4TotalGTime,Div4LongestGTime,Div4WheelsOff,Div4TailNum,Div5Airport,Div5AirportID,Div5AirportSeqID,Div5WheelsOn,Div5TotalGTime,Div5LongestGTime,Div5WheelsOff,Div5TailNum,Duplicate
328029,2022,1,1,7,5,07/01/2022,AA,AA,19805,AA,618,,,,,AA,19805,AA,N996NN,618,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,11618,1161802,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,1906,1910.0,4.0,4.0,0.0,0.0,1900-1959,14.0,1924.0,2315.0,34.0,2324,2349.0,25.0,25.0,1.0,1.0,2300-2359,0.0,,0.0,198.0,219.0,171.0,1.0,1372.0,6,4.0,0.0,21.0,0.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
495654,2022,1,1,27,4,27/01/2022,UA,UA,19977,UA,635,,,,,UA,19977,UA,N27260,635,11618,1161802,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,2129,2205.0,36.0,36.0,1.0,2.0,2100-2159,14.0,2219.0,12.0,5.0,2,17.0,15.0,15.0,1.0,1.0,0001-0559,0.0,,0.0,153.0,132.0,113.0,1.0,746.0,3,3.0,0.0,0.0,0.0,12.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
528845,2022,1,1,16,7,16/01/2022,UA,UA,19977,UA,2431,,,,,UA,19977,UA,,2431,14492,1449202,34492,RDU,"Raleigh/Durham, NC",NC,37,North Carolina,36,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,648,,,,,,0600-0659,,,,,810,,,,,,0800-0859,1.0,B,0.0,142.0,,,1.0,646.0,3,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
62928,2022,1,1,28,5,28/01/2022,DL,DL,19790,DL,1028,,,,,DL,19790,DL,N986AT,1028,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,15249,1524906,35249,TLH,"Tallahassee, FL",FL,12,Florida,33,1627,1639.0,12.0,12.0,0.0,0.0,1600-1659,27.0,1706.0,1751.0,3.0,1725,1754.0,29.0,29.0,1.0,1.0,1700-1759,0.0,,0.0,58.0,75.0,45.0,1.0,223.0,1,12.0,0.0,17.0,0.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
86152,2022,1,1,18,2,18/01/2022,HA,HA,19690,HA,11,,,,,HA,19690,HA,N393HA,11,14771,1477104,32457,SFO,"San Francisco, CA",CA,6,California,91,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,930,924.0,-6.0,0.0,0.0,-1.0,0900-0959,22.0,946.0,1239.0,9.0,1315,1248.0,-27.0,0.0,0.0,-2.0,1300-1359,0.0,,0.0,345.0,324.0,293.0,1.0,2398.0,10,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
312714,2022,1,1,8,6,08/01/2022,AA,AA,19805,AA,1564,,,,,AA,19805,AA,N910AU,1564,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,14683,1468305,33214,SAT,"San Antonio, TX",TX,48,Texas,74,1830,1905.0,35.0,35.0,1.0,2.0,1800-1859,12.0,1917.0,2001.0,3.0,1944,2004.0,20.0,20.0,1.0,1.0,1900-1959,0.0,,0.0,74.0,59.0,44.0,1.0,247.0,1,0.0,5.0,0.0,0.0,15.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
249259,2022,1,1,18,2,18/01/2022,WN,WN,19393,WN,2111,,,,,WN,19393,WN,N280WN,2111,10666,1066602,30666,BLI,"Bellingham, WA",WA,53,Washington,93,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,1200,1153.0,-7.0,0.0,0.0,-1.0,1200-1259,9.0,1202.0,1408.0,5.0,1435,1413.0,-22.0,0.0,0.0,-2.0,1400-1459,0.0,,0.0,155.0,140.0,126.0,1.0,954.0,4,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
552566,2022,1,1,10,1,10/01/2022,UA,UA_CODESHARE,19977,UA,6030,,,,,YV,20378,YV,N89304,6030,12451,1245102,31136,JAX,"Jacksonville, FL",FL,12,Florida,33,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1150,1152.0,2.0,2.0,0.0,0.0,1100-1159,10.0,1202.0,1322.0,12.0,1340,1334.0,-6.0,0.0,0.0,-1.0,1300-1359,0.0,,0.0,170.0,162.0,140.0,1.0,864.0,4,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
549903,2022,1,1,4,2,04/01/2022,UA,UA_CODESHARE,19977,UA,4593,,,,,G7,20500,G7,N523GJ,4593,11618,1161802,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,15016,1501606,31123,STL,"St. Louis, MO",MO,29,Missouri,64,1629,1735.0,66.0,66.0,1.0,4.0,1600-1659,20.0,1755.0,1916.0,7.0,1824,1923.0,59.0,59.0,1.0,3.0,1800-1859,0.0,,0.0,175.0,168.0,141.0,1.0,872.0,4,11.0,0.0,0.0,0.0,48.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
53053,2022,1,1,13,4,13/01/2022,DL,DL,19790,DL,1338,,,,,DL,19790,DL,N671DN,1338,11697,1169706,32467,FLL,"Fort Lauderdale, FL",FL,12,Florida,33,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,630,629.0,-1.0,0.0,0.0,-1.0,0600-0659,15.0,644.0,808.0,4.0,826,812.0,-14.0,0.0,0.0,-1.0,0800-0859,0.0,,0.0,116.0,103.0,84.0,1.0,581.0,3,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
